outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
local,StandardScaler,1,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.28740715980529785,0.006994485855102539
local,StandardScaler,6,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2656083106994629,0.005791425704956055
local,StandardScaler,11,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2722139358520508,0.0074994564056396484
local,StandardScaler,16,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.27928853034973145,0.007740974426269531
local,StandardScaler,21,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2746725082397461,0.008498668670654297
local,StandardScaler,26,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.28853297233581543,0.007125377655029297
local,StandardScaler,31,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.2855384349822998,0.007620811462402344
local,StandardScaler,36,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.287233829498291,0.010209083557128906
local,StandardScaler,41,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.30423760414123535,0.008113622665405273
local,StandardScaler,46,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.316162109375,0.011232614517211914
local,StandardScaler,51,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.32624340057373047,0.009277582168579102
local,StandardScaler,56,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.32652759552001953,0.012521743774414062
local,StandardScaler,61,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.3591489791870117,0.010831117630004883
local,StandardScaler,66,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.34737706184387207,0.011451244354248047
local,StandardScaler,71,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.3615996837615967,0.011873006820678711
local,StandardScaler,76,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.351102352142334,0.011658430099487305
local,StandardScaler,81,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.35984134674072266,0.012349367141723633
local,StandardScaler,86,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.3850879669189453,0.016490936279296875
local,StandardScaler,91,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.39066195487976074,0.015468835830688477
local,StandardScaler,96,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.397444486618042,0.014921426773071289
local,StandardScaler,101,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.47318363189697266,0.015243053436279297
local,StandardScaler,106,50.0,9.557142857142857,90.44285714285715,0.0,0.0,0.0,0.0,0.49983906745910645,0.02137017250061035
