scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
MinMaxScaler,30,0,64.80311468717707,93.50461697317225,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.293792486190796,0.03546428680419922
MinMaxScaler,35,0,41.79552376261169,89.18393749669958,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.2949726581573486,0.03840970993041992
MinMaxScaler,40,0,48.672489395566146,90.03856091254623,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.4243929386138916,0.058689117431640625
MinMaxScaler,45,0,50.925986583754124,90.85188267462371,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.3314552307128906,0.04408097267150879
MinMaxScaler,50,0,47.81449119636566,90.53080515439129,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.2908766269683838,0.0460357666015625
MinMaxScaler,55,0,53.134141624860234,91.26983805168439,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.4906399250030518,0.04908108711242676
MinMaxScaler,60,0,44.950763273431384,89.87761442899364,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.4089927673339844,0.04818248748779297
MinMaxScaler,65,0,49.648468857754835,90.23684781116908,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.5507266521453857,0.05936622619628906
MinMaxScaler,70,0,53.032716795183156,90.14284051810527,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.4526646137237549,0.05480194091796875
MinMaxScaler,75,0,54.23868251550381,90.95337331720681,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.6160774230957031,0.06117987632751465
MinMaxScaler,80,0,45.6490825783121,89.55716245520176,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.6299898624420166,0.06034135818481445
MinMaxScaler,85,0,59.79617307680408,91.89470923637822,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.614173173904419,0.061840057373046875
MinMaxScaler,90,0,58.282416080057644,91.75895525292627,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.6279432773590088,0.05983877182006836
MinMaxScaler,95,0,56.8897185996726,91.64770870278444,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.7178187370300293,0.06351184844970703
MinMaxScaler,100,0,59.55583230663388,91.90121155484535,9.464877113473941,0.002698826159944615,0.000154000154000154,1.0,7.700600646850454e-05,1.6277451515197754,0.06415510177612305
