Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,NeuTraLAD,local,QuantileTransformer,78.38187335880625,96.31085136744773,57.785714285714285,0.24954424338696263,0.6964560862865947,0.9685714285714285,0.5437048917401764,6.71575927734375,0.24678254127502441
data_ToNIoT.csv,NeuTraLAD,cluster,QuantileTransformer,21.19160435888702,79.02242031305957,42.5,-0.23875303088948477,0.5860331173506119,0.814,0.4578177727784027,5.3529767990112305,0.23125624656677246
data_ToNIoT.csv,NeuTraLAD,global,QuantileTransformer,99.4535283856224,99.80560175598382,60.67142857142858,0.34401779242811403,0.7174961518727553,0.9988571428571429,0.5598078462770216,5.579402446746826,0.23499321937561035
data_CICIoT2023.csv,NeuTraLAD,local,QuantileTransformer,87.06422842255112,92.895872725221,69.92857142857143,0.4382336499932549,0.7510348905972797,0.9071428571428571,0.6407669021190716,1.867868185043335,0.26694679260253906
data_CICIoT2023.csv,NeuTraLAD,cluster,QuantileTransformer,12.92487492182614,51.843193250705475,21.02857142857143,-0.6339481397578504,0.3434679334916865,0.41314285714285715,0.2939024390243902,1.808906078338623,0.3012692928314209
data_CICIoT2023.csv,NeuTraLAD,global,QuantileTransformer,99.87339071735472,99.93574804480635,79.91428571428571,0.6529610592541015,0.8326588907403,0.9994285714285714,0.7135862913096696,1.5505588054656982,0.2396230697631836
data_BoTIoT.csv,NeuTraLAD,local,QuantileTransformer,90.47780483375135,42.30958539575027,59.15714285714285,0.31314603988738227,0.31290555155010813,0.186,0.9848714069591528,5.245864152908325,0.23640942573547363
data_BoTIoT.csv,NeuTraLAD,cluster,QuantileTransformer,14.129957647058822,5.030067250705564,43.72857142857143,-0.2199299710291045,0.04509090909090909,0.026571428571428572,0.1488,5.521696329116821,0.24370098114013672
data_BoTIoT.csv,NeuTraLAD,global,QuantileTransformer,99.76584610849056,96.3310056972238,59.14285714285714,0.31722063428725766,0.30917874396135264,0.18285714285714286,1.0,5.396658420562744,0.2345106601715088
data_ToNIoT.csv,NeuTraLAD,local,MinMaxScaler,79.378093134521,96.66985815958363,59.17142857142858,0.2904946447367758,0.7057854642783611,0.9794285714285714,0.5516575474734471,5.235640048980713,0.24679231643676758
data_ToNIoT.csv,NeuTraLAD,cluster,MinMaxScaler,21.468418188884574,78.24501273665275,43.871428571428574,-0.19531552397581295,0.5959897172236504,0.828,0.4655421686746988,4.818287134170532,0.4010026454925537
data_ToNIoT.csv,NeuTraLAD,global,MinMaxScaler,98.94303916439624,99.66929770984297,60.92857142857143,0.3471168050690411,0.7185924477826937,0.9977142857142857,0.5615050651230101,5.113699197769165,0.36458420753479004
data_CICIoT2023.csv,NeuTraLAD,local,MinMaxScaler,82.95555403970025,89.59711450534913,68.14285714285714,0.39645128681640884,0.7348394768133175,0.8828571428571429,0.6293279022403259,1.791161060333252,0.23720836639404297
data_CICIoT2023.csv,NeuTraLAD,cluster,MinMaxScaler,21.187126056832195,57.20849229036911,26.871428571428574,-0.5054668303811782,0.3913922244679586,0.4702857142857143,0.3351659539808593,1.8740606307983398,0.24131536483764648
data_CICIoT2023.csv,NeuTraLAD,global,MinMaxScaler,99.72362944853212,99.85522616704385,79.80000000000001,0.6508219525528822,0.8317868189388532,0.9988571428571429,0.7125968202201386,1.6672351360321045,0.26963329315185547
data_N_BaIoT.csv,NeuTraLAD,local,MinMaxScaler,82.55915537423107,36.27144492325452,60.14285714285714,0.33106641306581375,0.3410486537553141,0.2062857142857143,0.9836512261580381,5.1196300983428955,0.2679758071899414
